Songs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
4 5,0.029411764705882353,0.07407407407407407,0.14840989399293286,0.1933497536945813,0.1139344262295082,0.012711864406779662,0.2698019801980198,0.2301980198019802,0.0,0.0,0.013157894736842105,0.04697986577181208,0.011494252873563218,0.0215311004784689,0.011494252873563218,0.0125,0.0,0.00436046511627907,0.008620689655172414,0.014184397163120567,0.007407407407407408,0.026854219948849106,0.00975609756097561,0.0,0.01875,0.0,0.010416666666666666,0.036585365853658534,0.0035087719298245615,0.004545454545454545,0.21476510067114093,0.0028735632183908046,0.013888888888888888,0.02914798206278027,0.2073170731707317,0.0975,0.015625,0.10208333333333333,0.031914893617021274,0.008389261744966443,0.18888888888888888,0.2697456492637216,0.10857142857142857,0.0,0.05,0.034722222222222224,0.020958083832335328,0.049107142857142856,0.013888888888888888,0.015625,0.015625,0.42105263157894735,0.0,0.00975609756097561,0.021505376344086023,0.0196078431372549,0.014084507042253521,0.0,0.018518518518518517,0.0,0.017699115044247787,0.005208333333333333,0.0,0.02459016393442623,0.00641025641025641,0.010416666666666666,0.017857142857142856,0.041666666666666664,0.0,0.0,0.04861111111111111,0.008849557522123894,0.0,0.010101010101010102,0.011976047904191617,0.04,0.022026431718061675,0.014285714285714285,0.0,0.1896551724137931,0.12066246056782334,0.0,0.0,0.0,0.015306122448979591,0.05387931034482758,0.10085836909871244,0.031862745098039214,0.007142857142857143,0.0,0.004098360655737705,0.12362637362637363,0.03225806451612903,0.0641025641025641,0.058823529411764705,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 6,0.03676470588235294,0.05037037037037037,0.014134275618374558,0.0,0.013934426229508197,0.029661016949152543,0.012376237623762377,0.0,0.01818181818181818,0.026881720430107527,0.013157894736842105,0.006711409395973154,0.02586206896551724,0.009569377990430622,0.017241379310344827,0.04583333333333333,0.054187192118226604,0.029069767441860465,0.04310344827586207,0.008865248226950355,0.025925925925925925,0.00639386189258312,0.06341463414634146,0.021739130434782608,0.025,0.03125,0.0,0.024390243902439025,0.031578947368421054,0.05454545454545454,0.0,0.031609195402298854,0.034722222222222224,0.04484304932735426,0.0,0.01375,0.01953125,0.01875,0.013297872340425532,0.040268456375838924,0.0,0.004016064257028112,0.022857142857142857,0.0,0.0,0.0,0.005988023952095809,0.0,0.013888888888888888,0.0,0.046875,0.003289473684210526,0.0,0.00975609756097561,0.010752688172043012,0.0,0.014084507042253521,0.020833333333333332,0.018518518518518517,0.0125,0.017699115044247787,0.026041666666666668,0.0,0.01639344262295082,0.038461538461538464,0.017361111111111112,0.011904761904761904,0.0,0.0,0.0,0.013888888888888888,0.008849557522123894,0.0,0.010101010101010102,0.023952095808383235,0.02,0.013215859030837005,0.07142857142857142,0.04424778761061947,0.0,0.006309148264984227,0.05454545454545454,0.046875,0.020833333333333332,0.015306122448979591,0.0,0.008583690987124463,0.03431372549019608,0.02857142857142857,0.08823529411764706,0.004098360655737705,0.005494505494505495,0.016129032258064516,0.022435897435897436,0.014705882352941176,0.0,0.03571428571428571,0.06818181818181818,0.036458333333333336,0.08888888888888889,0.03597122302158273,0.11458333333333333,0.031578947368421054,0.09473684210526316,0.05660377358490566,0.06417112299465241,0.015625,0.05517241379310345
4 7,0.14705882352941177,0.19555555555555557,0.2420494699646643,0.17857142857142858,0.24180327868852458,0.2076271186440678,0.2301980198019802,0.15346534653465346,0.23636363636363636,0.10752688172043011,0.125,0.12080536912751678,0.22701149425287356,0.16267942583732056,0.1206896551724138,0.2,0.25862068965517243,0.24709302325581395,0.20474137931034483,0.20567375886524822,0.1259259259259259,0.07672634271099744,0.32195121951219513,0.2028985507246377,0.13125,0.15625,0.0,0.2621951219512195,0.15789473684210525,0.31363636363636366,0.17225950782997762,0.23275862068965517,0.1875,0.2085201793721973,0.20528455284552846,0.16625,0.234375,0.12916666666666668,0.10372340425531915,0.2080536912751678,0.20476190476190476,0.1813922356091031,0.1657142857142857,0.29365079365079366,0.06875,0.05555555555555555,0.23353293413173654,0.10714285714285714,0.2222222222222222,0.03125,0.15625,0.23026315789473684,0.1951219512195122,0.1926829268292683,0.10752688172043011,0.10784313725490197,0.14788732394366197,0.020833333333333332,0.12962962962962962,0.3,0.09734513274336283,0.1875,0.041666666666666664,0.16393442622950818,0.1794871794871795,0.0798611111111111,0.16071428571428573,0.041666666666666664,0.052083333333333336,0.140625,0.1527777777777778,0.07079646017699115,0.041666666666666664,0.1414141414141414,0.20658682634730538,0.095,0.1762114537444934,0.22857142857142856,0.19469026548672566,0.13793103448275862,0.16640378548895898,0.22727272727272727,0.16145833333333334,0.2881944444444444,0.17346938775510204,0.04956896551724138,0.19313304721030042,0.09803921568627451,0.1,0.1323529411764706,0.15163934426229508,0.12637362637362637,0.20430107526881722,0.22115384615384615,0.08823529411764706,0.1724137931034483,0.30952380952380953,0.4147727272727273,0.4375,0.26666666666666666,0.5467625899280576,0.34895833333333337,0.5526315789473685,0.49473684210526314,0.33962264150943394,0.25133689839572193,0.1875,0.41379310344827586
4 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 9,0.1213235294117647,0.09037037037037036,0.16784452296819788,0.08497536945812807,0.1918032786885246,0.1483050847457627,0.22524752475247525,0.15099009900990099,0.2727272727272727,0.0913978494623656,0.19736842105263158,0.1610738255033557,0.14367816091954022,0.16985645933014354,0.13218390804597702,0.12083333333333333,0.18719211822660098,0.19040697674418605,0.1961206896551724,0.18971631205673758,0.12222222222222222,0.03836317135549872,0.15121951219512195,0.17028985507246377,0.075,0.0625,0.0,0.09146341463414634,0.14035087719298245,0.14545454545454545,0.08612975391498881,0.19540229885057472,0.09027777777777778,0.1031390134529148,0.12872628726287264,0.165,0.1796875,0.11458333333333333,0.09574468085106383,0.17785234899328858,0.18412698412698414,0.1566265060240964,0.09142857142857143,0.14285714285714285,0.0375,0.08333333333333333,0.12874251497005987,0.044642857142857144,0.125,0.09375,0.0625,0.1118421052631579,0.18902439024390244,0.06829268292682927,0.053763440860215055,0.058823529411764705,0.07042253521126761,0.013888888888888888,0.046296296296296294,0.11875,0.09734513274336283,0.09375,0.036458333333333336,0.09836065573770492,0.14102564102564102,0.06597222222222222,0.13392857142857142,0.10416666666666667,0.078125,0.0703125,0.1597222222222222,0.07079646017699115,0.10416666666666667,0.08080808080808081,0.23353293413173654,0.11,0.05726872246696035,0.2,0.07964601769911504,0.034482758620689655,0.08280757097791798,0.07272727272727272,0.10416666666666667,0.14583333333333334,0.20408163265306123,0.004310344827586207,0.060085836909871244,0.19362745098039216,0.05,0.19852941176470587,0.10245901639344263,0.0521978021978022,0.16666666666666666,0.09455128205128205,0.16911764705882354,0.25862068965517243,0.26587301587301587,0.26704545454545453,0.17708333333333334,0.16666666666666666,0.12949640287769784,0.26041666666666663,0.20526315789473687,0.2,0.24528301886792453,0.2994652406417112,0.203125,0.2689655172413793
4 10,0.0,0.005925925925925926,0.01060070671378092,0.0024630541871921183,0.006557377049180328,0.0,0.01485148514851485,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040650406504065045,0.005,0.0,0.0,0.0,0.0,0.03015873015873016,0.002677376171352075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01644736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004310344827586207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 11,0.03676470588235294,0.007407407407407408,0.0088339222614841,0.0024630541871921183,0.1,0.03389830508474576,0.034653465346534656,0.039603960396039604,0.03636363636363636,0.026881720430107527,0.019736842105263157,0.013422818791946308,0.040229885057471264,0.023923444976076555,0.017241379310344827,0.03333333333333333,0.08374384236453201,0.04941860465116279,0.04310344827586207,0.024822695035460994,0.022222222222222223,0.005115089514066497,0.08292682926829269,0.025362318840579712,0.0,0.03125,0.0,0.012195121951219513,0.007017543859649123,0.045454545454545456,0.010067114093959731,0.10632183908045977,0.027777777777777776,0.023168908819133034,0.07520325203252033,0.005,0.02734375,0.008333333333333333,0.16489361702127658,0.05704697986577181,0.04126984126984127,0.04685408299866131,0.022857142857142857,0.047619047619047616,0.0125,0.013888888888888888,0.014970059880239521,0.0,0.041666666666666664,0.0,0.03125,0.006578947368421052,0.006097560975609756,0.02926829268292683,0.010752688172043012,0.0,0.02112676056338028,0.0,0.009259259259259259,0.03125,0.02654867256637168,0.015625,0.005208333333333333,0.0,0.02564102564102564,0.0,0.03869047619047619,0.020833333333333332,0.015625,0.0234375,0.020833333333333332,0.017699115044247787,0.020833333333333332,0.0,0.0718562874251497,0.02,0.013215859030837005,0.08571428571428572,0.004424778761061947,0.0,0.007886435331230283,0.02727272727272727,0.010416666666666666,0.03125,0.02040816326530612,0.0,0.01072961373390558,0.0196078431372549,0.02142857142857143,0.041666666666666664,0.020491803278688523,0.0,0.20967741935483872,0.014423076923076924,0.04411764705882353,0.034482758620689655,0.051587301587301584,0.03977272727272727,0.09895833333333333,0.03333333333333333,0.06474820143884892,0.05208333333333333,0.05789473684210526,0.05263157894736842,0.16037735849056603,0.13903743315508021,0.2421875,0.19310344827586207
5 0,0.04779411764705882,0.0,0.007067137809187279,0.0024630541871921183,0.045081967213114756,0.01694915254237288,0.039603960396039604,0.03712871287128713,0.0,0.0,0.0,0.0,0.040229885057471264,0.009569377990430622,0.0,0.008333333333333333,0.04187192118226601,0.056686046511627904,0.02586206896551724,0.0070921985815602835,0.0,0.0,0.05853658536585366,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.010067114093959731,0.08908045977011494,0.003472222222222222,0.0037369207772795215,0.06233062330623306,0.005,0.0,0.008333333333333333,0.015957446808510637,0.09395973154362416,0.09523809523809523,0.058902275769745646,0.011428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.008849557522123894,0.0,0.0,0.03293413173652695,0.0,0.0,0.02857142857142857,0.0,0.0,0.00473186119873817,0.02727272727272727,0.010416666666666666,0.0,0.01020408163265306,0.0,0.004291845493562232,0.0,0.014285714285714285,0.0,0.0,0.04395604395604396,0.053763440860215055,0.022435897435897436,0.014705882352941176,0.0,0.015873015873015872,0.005681818181818182,0.026041666666666668,0.0,0.02877697841726619,0.046875,0.04736842105263158,0.021052631578947368,0.14150943396226415,0.08021390374331551,0.265625,0.041379310344827586
5 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 2,0.10294117647058823,0.0,0.014134275618374558,0.0,0.029508196721311476,0.0423728813559322,0.019801980198019802,0.01485148514851485,0.0,0.0,0.0,0.0,0.07183908045977011,0.0,0.0,0.020833333333333332,0.009852216748768473,0.02616279069767442,0.017241379310344827,0.0035460992907801418,0.0,0.0,0.03414634146341464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022371364653243847,0.03735632183908046,0.0,0.029895366218236172,0.05623306233062331,0.0,0.0,0.0,0.0,0.013422818791946308,0.006349206349206349,0.022757697456492636,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035211267605633804,0.0,0.0,0.00625,0.0,0.0,0.0,0.0,0.0,0.0,0.002976190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.017167381974248927,0.0,0.0,0.0,0.0,0.1346153846153846,0.08064516129032258,0.0016025641025641025,0.0,0.0,0.007936507936507936,0.005681818181818182,0.03125,0.0,0.007194244604316547,0.046875,0.02631578947368421,0.05263157894736842,0.05660377358490566,0.1443850267379679,0.0859375,0.0
